station_id,station_name,line_id,station_order,jr_code,source_url
yayoigaoka,弥生が丘,kagoshima,13,29348,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=29348
yashiro,田代,kagoshima,14,28396,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28396
tosu,鳥栖,kagoshima,15,28399,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28399
hizenasahi,肥前旭,kagoshima,16,28413,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28413
kurume,久留米,kagoshima,17,28144,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28144
araki,荒木,kagoshima,18,28061,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28061
nishimuta,西牟田,kagoshima,19,28278,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28278
hainuzuka,羽犬塚,kagoshima,20,28282,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28282
chikugo_funagoya,筑後船小屋,kagoshima,21,28313,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28313
setaka,瀬高,kagoshima,22,28196,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28196
minami_setaka,南瀬高,kagoshima,23,28336,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28336
wataze,渡瀬,kagoshima,24,28361,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28361
yoshino,吉野,kagoshima,25,28357,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28357
ginsui,銀水,kagoshima,26,28137,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28137
omuta,大牟田,kagoshima,27,28093,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28093
arao,荒尾,kagoshima,28,28591,https://www.jrkyushu-timetable.jp/cgi-bin/jr-k_time/tt_dep.cgi?c=28591
